question,answer,type
关于电力系统等值电路参数计算时，变压器变比的选择，下述说法中正确的是（  A.精确计算时采用实际变比，近似计算时采用平均额定变比 B.近似计算时，采用实际变比；精确计算时采用平均额定变比 C.不管是精确计算还是近似计算均应采用额定变比 D.不管是精确计算还是近似计算均应采用平均额定变,A,单选
随着磁路长度的增加，电感会发生什么变化？ A.增加 B.减少 C.保持不变 D.变为零,B,单选
有一台两极绕线式感应电动机要想把转速调高，采取下列哪一种调速方法是可行的() A.变极调速 B.转子中串入电阻 C.变频调速 D.以上都不行,C,单选
关于变压器，下述说法中错误的是( )  A.对电压进行变化，升高电压满足大容量远距离输电的需要，降低电压满足用电的需求 B.变压器不仅可以对电压大小进行变化，也可以对功率大小进行变换； C.当变压器原边绕组与发电机直接相连时（发电厂升压变压器的低压绕组），变压器原边绕组的额定电压应与发电机额定电压相同； D.变压器的副边绕组额定电压一般应为用电设备额定电压的1.1倍。,B,单选
在RGC型高压开关柜型号中，用（）表示开关熔断器组合单元。 A.RGCC B.RGCV C.RGCF D.以上都不对,C,单选
当恒流源开路时，该恒流源内部（ ） A.有电流，有功率损耗 B.无电流，无功率损耗 C.有电流，无功率损耗 D.无电流，有功率损耗,B,单选
下述所给出的各个选项中，完全属于提高电力系统并列运行静态稳定性的一组是（    ）。 A.输电线路采用分裂导线、发电机装设先进励磁装置、提高输电电压等级 B.输电线路采用分裂导线、发电机装设先进励磁装置、输电线路装设重合闸装置 C.输电线路采用分裂导线、发电机装设先进励磁装置、快速切除故障 D.快速切除故障、输电线路装设重合闸装置、发电机装设先进励磁装置。,A,单选
求电流的平方，然后求平均值，然后求平方根，得到的电流是什么类型？  A.有效电流 B.平均电流 C.瞬时电流 D.总电流,A,单选
螺线管的电流为30A，单位长度的匝数为每米500匝。如果铁芯是空气，请计算磁场。 A.18.84T B.18.84mT C.1.84T D.1.84mT,B,单选
调频收音机中频信号频率为 （ ） A.465kHz B.10.7MHz C.38MHz D.不能确定,B,单选
熔断器熔体的额定电流是指（）。 A.熔断器外壳和载流部分长期允许通过的最大工作电流 B.熔体允许长期通过而不熔化的最大电流 C.熔断器能可靠分断的最大短路电流 D.以上都不对,B,单选
在叠加定理中，当我们考虑一个电流源的影响时，所有其他电压源都是（） A.短路 B.开路 C.移除 D.不受干扰,A,单选
适时引入1000kV特高压输电，可为直流多馈入的受端电网提供坚强的（ ）支撑，有利于从根本上解决500kV短路电流超标和输电能力低的问题。 A.电压和有功 B.电压和无功 C.频率和有功 D.电压和频率,B ,单选
RN1系列熔断器的熔体中间焊有（）。 A.小铜球 B.小锡球 C.C．小铁球 D.以上都不对,B,单选
电容器存储哪种类型的能量？ A.动能 B.振动能 C.势能 D.热能,C,单选
根据（），感应电动势等于磁通量的变化率。 A.牛顿定律 B.楞次定律 C.法拉第定律 D.库仑定律,C,单选
