question,answer,type
电感电路中的总施加电压是多少？ A.V=Ri+LDi/Dt B.V=Ri+Di/Dt C.V=i+LDi/Dt D.V=R+LDi/Dt,A,单选
根据弗莱明右手定则，食指指向？ A.电流 B.电动势 C.导体的运动 D.磁通量,D,单选
某超外差接收机的中频 fI ＝465kHz ，输入信号载频 fc＝ 810kHz ，则镜像干扰频率为（ ） A.465kHz B.2085kHz C.1740kHz D.1000khz,C,单选
输电线路电容参数产生的充电功率与线路电压( )。  A.一次方成正比 B.平方成正比 C.三次方成正比 D.无关,B,单选
电容器充满电时的导通电流是多少？ A.无穷大 B.零 C.100A D.1000A,B,单选
凸极同步发电机附加电磁功率产生的原因是 ()  A.交轴励磁绕组 B.交轴上的磁阻比直轴上的磁阻大 C.直轴上的磁阻比交磁阻大 D.交轴上的磁阻等于直轴上的磁阻,B,单选
（）电流的计算方法是用半周所围成的面积除以半周底边的长度。 A.有效电流 B.平均电流 C.瞬时电流 D.总电流,B,单选
在多电压等级电磁环网中，改变变压器的变比（    ） A.主要改变无功功率分布 B.主要改变有功功率分布 C.改变有功功率分布和无功功率分布 D.功率分布不变。,A,单选
一点的电场可以有几个方向？ A.零 B.一个 C.两个 D.许多,B,单选
继电保护反映电力系统元件和电气设备的（ ），根据运行维护条件和设备的承受能力，自动发 出信号，减负荷或延时跳闸。 A.故障 B.正常运行状态 C.异常运行状态 D.完好状态,C,单选
磁场沿着下列哪一个方向存在？ A.移动电荷 B.固定电荷 C.铜 D.铁,A,单选
采用同一型号导线的三相架空输电线路，相间距离增大时，其电抗( )  A.增大 B.减小 C.不变 D.无法确定,A,单选
电力线路中，电纳B主要反映导线与导线之间，导线与大地之间的( )。  A.热效应 B.电容效应 C.磁场效应 D.电晕损耗,B,单选
在源变换中（） A.电压源保持不变 B.电流源保持不变 C.电压源和电流源保持不变 D.电阻保持不变,D,单选
在选择性电路中，较高的 Q 因数（）峰值。 A.更尖锐 B.钝化 C.既不尖锐也不钝化 D.要么更尖锐要么钝化,A,单选
220kV电力线路的平均额定电压为( )。  A.230kV B.220kV C.221kV D.242kV,A,单选
电感器中的电流滞后于串联 RLC 电路（）谐振频率中的电压。 A.高于 B.低于 C.等于 D.取决于电路,A,单选
中性点经消弧线圈接地，一般实践中采用( )。  A.欠补偿 B.全补偿 C.过补偿 D.短路点不同，补偿形式不同,C,单选
变压器参数    由试验数据( )确定。P30  A.ΔPK B.ΔP0 C.U.K.% D.I.0%,B,单选
解释电压较高、距离较长的间隙中的气体放电过程可用（）。 A.汤逊理论 B.流注理论 C.巴申定律 D.小桥理论,B,单选
磁场的强度是指什么？ A.磁通 B.密度 C.磁场强度 D.磁通密度,D,单选
（）谐振频率，电容器中的电流超前于串联 RLC 电路中的电压。 A.高于 B.低于 C.等于 D.取决于电路,B,单选
一台变压器若将其原边外加电压的频率f1提高10，其铁心损耗（  ），激磁电流（  ），激磁电抗（   ）。升高，降低，不变 A.降低，降低，升高 B.不变，降低，不变 C.升高，不变，降低 D.B,,单选
电四极矩有几个独立分量 A.9个 B.6个 C.5个 D.4个,C,单选
普通变压器组距离风力发电机组的距离满足DL/T 5383—2007《风力发电场设计技术规范》5.1.5中的规定。箱式变压器组距离风力发电机组( )10m。  A.不应大于 B.不应小于 C.应大于 D.应小于,B,单选
直流电动机空载时，气隙中的磁场是由（     ）。 A.励磁磁场 B.电枢磁场 C.励磁磁场和电枢磁场共同作用 D.以上都不对,A,单选
一个64选1的数据选择器有（ ）个选择控制信号输入端。 A.6 B.16 C.32 D.64,A,单选
系统发生短路故障后，越靠近短路点，正序电压( )。  A.越低 B.越高 C.不变 D.不确定,A,单选
"单层交流绕组中，每相串联匝数同每个线圈匝数c，每极每相槽数q、极对数p,并联支路数2a之间的关系是() A.N= B.N= C.N=2P·q·2a·N D.N=2a·P·Nq",B,单选
电子实际移动的电流类型是什么？ A.位移电流 B.导通电流 C.导通电流和位移电流 D.既不导通也不位移电流,B,单选
MC1596集成模拟乘法器不可以用作（  ） A.混频 B.振幅调制 C.调幅波的解调 D.频率调制,D,单选
为了获得高选择性，电阻必须是？ A.小 B.大 C.负 D.正,A,单选
采用分裂导线后，与同截面的普通导线相比，其线路对地电容( )。  A.增大 B.减小 C.不变 D.不确定,A,单选
对于有功电源过剩，但无功不足引起电压水平偏低的电力系统，应优先采用的调压措施是（    ）。 A.改变无励磁调节变压器变比 B.改变有载调压变压器变比 C.改变发电机的无功出力 D.增加无功补偿装置。,C,单选
以下哪项取决于电容器的充电和放电速率？ A.时间常数 B.电流 C.功率 D.电压,A,单选
摩尔型时序逻辑电路的输出是（）。 A.只与输入有关 B.只与电路当前状态有关 C.与输入和电路当前状态均有关 D.与输入和电路当前状态均无关,B,单选
磁力线是否相交？ A.是 B.否 C.视情况而定 D.无法确定,B,单选
计算电阻为 5 欧姆、电感为 10H 的电感电路的时间常数。 A.2 秒 B.4 秒 C.5 秒 D.10 秒,A,单选
节点分析通常用于确定（） A.电压 B.电流 C.电阻 D.功率,A,单选
要实现集电极调制特性应使功放工作在（ ）状态 A.欠压状态 B.过压状态 C.临界状态 D.任意状态,B,单选
求C=20F、绝对介电常数=5F/m、A=4m 2且D=2m的多极板电容器中的极板数量。 A.1 B.2 C.3 D.4,C,单选
分析电力系统静态稳定性的方法是（    ）。 A.小干扰法 B.改进欧拉法 C.对称分量法 D.、运算曲线法。,A,单选
电力系统中发生概率最多的短路故障是( )。  A.三相短路 B.两相短路 C.两相短路接地 D.单相接地短路,D,单选
KVL 与（）相关？ A.网格分析 B.节点分析 C.网格和节点 D.既不是网格也不是节点,A,单选
从源获取的最大功率取决于（）  A.源电阻值 B.负载电阻值 C.源电阻和负载电阻 D.源电阻和负载电阻都不是,B,单选
供电质量是指电能质量与（）. A.供电可靠性 B.供电经济性 C.供电服务质量 D.以上都不对,A,单选
电力网无功补偿的原则( )。  A.无功电力分层分区就地平衡 B.电压稳定 C.频率稳定 D.有功功率平衡,A,单选
什么是MMF？ A.磁力机械力 B.磁动势 C.磁动力 D.磁动力,B,单选
电容器中的电流超前串联 RLC 电路中的电压（）谐振频率。 A.高于 B.低于 C.等于 D.取决于电路,B,单选
锁相环路的组成不包括以下哪个部分 （） A.鉴相器 B.环路滤波器 C.压控振荡器 D.鉴频器,D,单选
两点间电压代数差称为( )P50  A.电压降落 B.电压偏移 C.电压损耗 D.电压调整,C,单选
电介质基本上是（） A.电容器 B.导体 C.绝缘体 D.半导体,C,单选
在换路瞬间，下列说法中正确的是（ ） A.电感电流不能跃变 B.电感电压必然跃变 C.电容电流必然跃变 D.电感电流不一定跃变,A,单选
