question,A,B,C,D,answer
下面的选项中，非破坏性试验包括（）,绝缘电阻试验,局部放电试验,绝缘油的气相色谱分析,介质损耗角正切试验,A、B、C、D
下面的选项中，破坏性实验包括（）,交流耐压试验,直流耐压试验,操作冲击耐压试验,雷电冲击耐压试验,A、B、C、D
用铜球间隙测量高电压，需满足那些条件才能保证国家标准规定的测量不确定度？,铜球距离与铜球直径之比不大于0.5,结构和使用条件必须符合IEC的规定,需进行气压和温度的校正,应去除灰尘和纤维的影响,A、B、C、D
交流峰值电压表的类型有：()。,电容电流整流测量电压峰值,整流的充电电压测量电压峰值,有源数字式峰值电压表,无源数字式峰值电压表,A、B、C
电容分压器的低压臂的合理结构是(),低压臂电容的内电感必须很小,应该用同轴插头，插入低压臂的屏蔽箱,电缆输入端应尽可能靠近电容C2的两极。,abc环路线应该比较长,A、C、D
光电测量系统有哪几种调制方式()。,幅度－光强度调制（AM－IM）,调频－光强度调制（FM－IM）,数字脉冲调制,利用光电效应,A、B、C、D
在放电厂和变电站中，对直击雷的保护通常采用哪几种方式？()。,避雷线,并联电容器,接地装,串联电容器,A、B
空载线路合闸过电压的影响因素有()。,合闸相位,线路损耗,线路上残压的变化,单相自动重合闸,A、B、C、D
衡量电能质量指标的有下列哪些因素？（ ）,频率,线路损耗,电压,谐波,A、C、D
集成电路进入纳米尺寸时代后，将面临以下主要挑战,漏电流增大导致总功耗增加,栅极氧化膜厚度接近物理极限,电路规模增大导致动态功耗增加,配线延迟不能相应降低从而影响性能,A、B、D
以下哪几项是集成电路制作工艺的, SOP, BCD, BMOS, CMOS,B、D
以下哪些描述符合通用性设计七原则,无论使用者的经验、文化水平、语言技能、使用时的注意力集中程度如何，都能容易地理解设计物的使用方式。,设计物对于不同能力的人们来说都是有用而适合的。,提供合适的尺度和空间以便于接近、到达、操控和使用，无论使用者的生理尺寸、体态和动态。,设计物应该降低由于偶然动作和失误而产生的危害及负面后果。,A、B、C、D
以下哪些为微处理器IP必须具备的功能,Fetch,Decode,Execute,Writeback,A、B、C、D
以下关于设计抽象度的描述中，哪些是正确的,算法级描述决定系统的实施方式（体系结构、算法）,门级描述是基于基本元件（AND/OR/NOT/FF等）的电路设计,门级描述决定硬件的处理方式（数据电路与控制电路）,RTL描述包括时钟级的时序设计,A、B、D
