question,answer
三相异步电动机旋转磁场的旋转方向和什么一致，要改变三相异步电动机的转向，只要怎么做？,三相异步电动机旋转磁场的旋转方向和定子饶组所接电源的相序一致，要改变三相异步电动机的转向，只要将电源的任意两相调换。
某三相异步电动机的额定转速为1470r/min，则该电动机的磁极数为多少极，同步转速为多少，转差率为多少,某三相异步电动机的额定转速为1470r/min，则该电动机的磁极数为4极，同步转速为1500r/min，转差率为0.02。
正弦交流电的三要素是什么,正弦交流电的三要素有效值，频率，周期初相位。
阻抗为8欧姆的负载经变压器变换后，其等效阻抗为512欧姆，该变压器的变比为多少,阻抗为8欧姆的负载经变压器变换后，其等效阻抗为512欧姆，该变压器的变比为8。
在直流电动机中，电枢就是直流电动机的什么,在直流电动机中，电枢就是直流电动机的转子。
直流电机即可做什么使用，也可做什么使用,直流电机即可做直流电动机使用，也可做直流发电机使用。
停电操作程序有哪几步,停电操作程序（1）断路；（2）验电；（3）装接地线；（4） 挂表示牌检验；（5）安全措施   
气体中带电质点产生的方式是什么,热电离、光电离、碰撞电离、表面电离
气体中带电质点消失的方式是什么,流入电极、逸出气体空间、复合
巴申定律及其适用范围,击穿电压与气体相对密度和极间距离乘积之间的关系。两者乘积大于0.26cm时，不再适用
流注理论,考虑了空间电荷对原有电场的影响和空间光电离的作用，适用两者乘积大于0.26cm时的情况
均匀电场与不均匀电场的划分,以最大场强与平均场强之比来划分。
极不均匀电场中的电晕放电,电晕放电的概念、起始场强、放电的极性效应
冲击电压作用下气隙的击穿特性,a. 雷电和操作过电压波的波形 b. 冲击电压作用下的放电延时与伏秒特性 c.50%击穿电压的概念
电场形式对放电电压的影响,均匀电场无极性效应、各类电压形式放电电压基本相同、分散性小，极不均匀电场中极间距离为主要影响因素、极性效应明显。
电压波形对放电电压的影响,a.电压波形对均匀和稍不均匀电场影响不大b.对极不均匀电场影响相当大 c.完全对称的极不均匀场 棒棒间隙d.极大不对称的极不均匀场棒板间隙
气体的状态对放电电压的影响,湿度、密度、海拔高度的影响
