question,A,B,C,D,answer
三相四线制供电系统线路中，电网中性点的接地叫做（），将不带电的设备外壳与大地作电气连接，则这种接法叫做（）,保护接地 保护接地,重复接地 保护接地,保护接地 工作接地,工作接地 保护接地,D
在串联电阻电路中，电源电压一定，相同时间内，电阻越大，发热量（）,越小,不一定大,越大,不变,C
电动机正、反转控制电路中，应将正转接触器的（）串联于反转接触器的控制电路中,主触点,常闭触点,任意触点,常开触点,B
绕线式异步电动机通常采用（）方法启动,转子绕组串电阻,变频,变极,自耦,A
异步电动机星-三角启动时，各相定子绕组承受的电压是额定运行时电压的（）,3倍,1/1.732,1.732倍,1.414倍,B
交流耐压试验加标准电压至试验结束的持续时间一般为（）,1min,5min,2min,特殊规定,A
3～10kv电力网，一般采用中性点（）的方式,接地,不接地,为零,直接接地,B
在交流电路中，总电压与总电流的乘积叫做电路的（）,有功功率,无功功率,瞬时功率,视在功率,D
电能的常用单位是(),W,kW,MW,kW·h,D
三相四线制供电系统中，火线与中线间的电压等于（）,零电压,相电压,线电压,1/2线电压,B
流注理论未考虑()的现象。,碰撞游离,表面游离,光游离,电荷畸变电场,B
先导通道的形成是以（）的出现为特征。,碰撞游离,表面游离,热游离,光游离,C
电晕放电是一种（）。,自持放电,非自持放电,电弧放电,均匀场中放电,A
气体内的各种粒子因高温而动能增加，发生相互碰撞而产生游离的形式称为()。,碰撞游离,光游离,热游离,表面游离,C
以下哪个不是发生污闪最危险的气象条件？（）。,大雾,毛毛雨,凝露,大雨,D
SF6气体具有较高绝缘强度的主要原因之一是（）。,无色无味性,不燃性,无腐蚀性,电负性,D
冲击系数是()放电电压与静态放电电压之比。,25%,50%,75%,100%,B
在高气压下，气隙的击穿电压和电极表面()有很大关系,粗糙度,面积,电场分布,形状,A
雷电流具有冲击波形的特点()。,缓慢上升，平缓下降,缓慢上升，快速下降,迅速上升，平缓下降,迅速上升，快速下降,C
在极不均匀电场中，正极性击穿电压比负极性击穿电压()。,小,大,相等,不确定,A
关于以下对测量不确定度的要求，说法正确的是()。,对交流电压的测量，有效值的总不确定度应在±3％范围内,对直流电压的测量，一般要求测量系统测量试验电压算术平均值的测量总不确定度应不超过±4％,测量直流电压的纹波幅值时，要求其总不确定度不超过±8％的纹波幅值,测量直流电压的纹波幅值时，要求其总不确定度不超过±2％的直流电压平均值。,A
构成冲击电压发生器基本回路的元件有冲击电容C1，负荷电容C2，波头电阻R1和波尾电阻R2，为了获得一很快由零上升到峰值然后较慢下降的冲击电压，应使()。,C1＞＞C2、R1＞＞R2,C1＞＞C2、R1＜＜R2,C1＜＜C2、R1＞＞R2,C1＜＜C2、R1＜＜R2,B
波在线路上传播，当末端短路时，以下关于反射描述正确的是()。,电流为0，电压增大一倍,电压为0，电流增大一倍,电流不变，电压增大一倍,电压不变，电流增大一倍,B
下列表述中，对波阻抗描述不正确的是()。,波阻抗是前行波电压与前行波电流之比,对于电源来说波阻抗与电阻是等效的,线路越长，波阻抗越大,波阻抗的大小与线路的几何尺寸有关,C
减少绝缘介质的介电常数可以()电缆中电磁波的传播速度。,降低,提高,不改变,不一定,B
根据我国有关标准，220kV线路的绕击耐雷水平是()。,12kA,16kA,80kA,120kA,A
避雷器到变压器的最大允许距离()。,随变压器多次截波耐压值与避雷器残压的差值增大而增大,随变压器冲击全波耐压值与避雷器冲击放电电压的差值增大而增大,随来波陡度增大而增大,随来波幅值增大而增大,A
对于500kV线路，一半悬挂的瓷绝缘子片数为()。,24,26,28,30,C
接地装置按工作特点可分为工作接地、保护接地和防雷接地。保护接地的电阻值对高压设备约为()。,0.5～5,1～10,10～100,小于1,B
空载线路合闸的时候，可能产生的最大过电压为(),1.5,2,3,4,C
在110kV～220kV系统中，为绝缘配合许可的相对地操作过电压的倍数为(),4.0倍,3.5倍,3.0倍,2.75倍,C
以下属于操作过电压的是(),工频电压升,电弧接地过电压,变电所侵入波过电压,铁磁谐振过电压,B
解释电压较高、距离较长的间隙中的气体放电过程可用（）。,汤逊理论,流注理论,巴申定律,小桥理论,B
若固体电介质被击穿的时间很短、又无明显的温升，可判断是（　C　）。,电化学击穿,热击穿,电击穿,各类击穿都有,C
